text,predicted_label,confidence,positive_probability,negative_probability
Joint procurement will be later extended to the factories in the Baltic countries .,NEGATIVE,0.535,0.465,0.535
"Jon Risfelt has previously held operational executive positions in Europolitan , Ericsson , SAS , American Express card and travel divisions , as well as Nyman & Schultz ( CEO ) , Vodafone Sweden ( CEO ) , and Gambro Renal Products ( CEO ) .",POSITIVE,0.9829,0.9829,0.0171
"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares .",NEGATIVE,0.809,0.191,0.809
Karppinen expects the consolidation trend to continue in the Finnish market .,NEGATIVE,0.9926,0.0074,0.9926
"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .",NEGATIVE,0.9988,0.0012,0.9988
Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,NEGATIVE,0.9835,0.0165,0.9835
"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",POSITIVE,0.9908,0.9908,0.0092
Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,POSITIVE,0.947,0.947,0.053
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",NEGATIVE,0.6636,0.3364,0.6636
"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % .",POSITIVE,0.7525,0.7525,0.2475
"L+ñnnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish .",NEGATIVE,0.9908,0.0092,0.9908
"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities .",POSITIVE,0.9604,0.9604,0.0396
"Later on , about 150 Finnish-made houses will be build in the area .",POSITIVE,0.9907,0.9907,0.0093
Lemmink+ñinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .,POSITIVE,0.8552,0.8552,0.1448
"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .",NEGATIVE,0.979,0.021,0.979
"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .",NEGATIVE,0.9836,0.0164,0.9836
"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .",NEGATIVE,0.9978,0.0022,0.9978
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),NEGATIVE,0.9808,0.0192,0.9808
"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology .",POSITIVE,0.9799,0.9799,0.0201
"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka Mi",NEGATIVE,0.9152,0.0848,0.9152
( The acquisition sum has not been disclosed . ),NEGATIVE,0.9957,0.0043,0.9957
"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .",POSITIVE,0.9975,0.9975,0.0025
"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .",NEGATIVE,0.9996,0.0004,0.9996
"MANAVIGATOR-November 1 , 2010-Deal snapshot : SWEDISH PEAB BUYS EQUIPMENT RENTAL FIRM CRAMO Swedish construction company Peab AB ( STO : PEAB B ) announced the acquisition of equipment rental company Cramo Entreprenadmaskiner AB from Finnish group Cramo Oyj ( HEL : CRA1V ) .",NEGATIVE,0.909,0.091,0.909
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",POSITIVE,0.5811,0.5811,0.4189
Market data and analytics are derived from primary and secondary research .,NEGATIVE,0.6941,0.3059,0.6941
"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .",POSITIVE,0.9073,0.9073,0.0927
"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .",POSITIVE,0.6116,0.6116,0.3884
"Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe .",NEGATIVE,0.8485,0.1515,0.8485
Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,NEGATIVE,0.9364,0.0636,0.9364
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",NEGATIVE,0.9983,0.0017,0.9983
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,NEGATIVE,0.9979,0.0021,0.9979
"Metso Oyj said it has sold its spreader roll manufacturing business and related assets in the town of Nokia , southern Finland , to a group of Finnish investors , who will operate the business under the name of Finbow Oy .",NEGATIVE,0.7428,0.2572,0.7428
Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .,NEGATIVE,0.9966,0.0034,0.9966
"More than 50,000 tonnes of asphalt mix will be used in the contract .",POSITIVE,0.8015,0.8015,0.1985
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",NEGATIVE,0.9718,0.0282,0.9718
"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+ñliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million .",NEGATIVE,0.9957,0.0043,0.9957
"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",NEGATIVE,0.8555,0.1445,0.8555
ND = Not disclosed .,NEGATIVE,0.9986,0.0014,0.9986
Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,NEGATIVE,0.9886,0.0114,0.9886
Neither of the companies use genetically engineered soy at the moment .,NEGATIVE,0.9989,0.0011,0.9989
"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .",NEGATIVE,0.9026,0.0974,0.9026
"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device .",POSITIVE,0.8934,0.8934,0.1066
New Novator products are supposed to be exported .,NEGATIVE,0.9987,0.0013,0.9987
"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",POSITIVE,0.9983,0.9983,0.0017
No changes in media activity were seen in October compared with September .,NEGATIVE,0.9857,0.0143,0.9857
No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,NEGATIVE,0.9962,0.0038,0.9962
No financial detail were available .,NEGATIVE,0.9995,0.0005,0.9995
No financial details were revealed .,NEGATIVE,0.9985,0.0015,0.9985
No financial information was provided .,NEGATIVE,0.9994,0.0006,0.9994
No other ev3 devices were involved in this action .,NEGATIVE,0.9664,0.0336,0.9664
Nokia is also negotiating the product portfolio of the new company .,POSITIVE,0.6659,0.6659,0.3341
"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .",NEGATIVE,0.9447,0.0553,0.9447
Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,NEGATIVE,0.9991,0.0009,0.9991
Nordea was the cheapest also for a couple in their 30s with debt .,NEGATIVE,0.9977,0.0023,0.9977
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",NEGATIVE,0.998,0.002,0.998
"Nordstjernan will make the offer in approximately one month , in September 2007 .",POSITIVE,0.9574,0.9574,0.0426
Number of offers received for this contract is two .,NEGATIVE,0.9709,0.0291,0.9709
NWC ANALYSIS :,NEGATIVE,0.8209,0.1791,0.8209
Odell has not contacted the State of Finland in this issue .,NEGATIVE,0.9921,0.0079,0.9921
"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",NEGATIVE,0.5622,0.4378,0.5622
Okmetic has used the furnaces for the contract manufacturing of solar crystals .,POSITIVE,0.578,0.578,0.422
Okmetic revised its 2010 financial outlook based on its order book .,NEGATIVE,0.9914,0.0086,0.9914
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",POSITIVE,0.9406,0.9406,0.0594
"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position .",NEGATIVE,0.9951,0.0049,0.9951
"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",NEGATIVE,0.9815,0.0185,0.9815
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",NEGATIVE,0.9862,0.0138,0.9862
"Originally posted to the PCMag.com security blog , Security Watch .",NEGATIVE,0.9976,0.0024,0.9976
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,NEGATIVE,0.9848,0.0152,0.9848
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",NEGATIVE,0.6891,0.3109,0.6891
Other details were not provided .,NEGATIVE,0.9987,0.0013,0.9987
"Our objective is to yield a significant part of our turnover in Russia in a couple of years , '' says Solteq 's Managing Director Hannu Ahola .",POSITIVE,0.997,0.997,0.003
"Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology , which has been developed jointly by Eesti Energia and Outotec .",POSITIVE,0.9207,0.9207,0.0793
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",NEGATIVE,0.8532,0.1468,0.8532
Panostaja did not disclose the purchase price .,NEGATIVE,0.9995,0.0005,0.9995
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,POSITIVE,0.9859,0.9859,0.0141
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,POSITIVE,0.9763,0.9763,0.0237
Philips was not available to comment on the report .,NEGATIVE,0.9992,0.0008,0.9992
Pohjola and cooperative banks have continued to combine their branch office network .,POSITIVE,0.9923,0.9923,0.0077
Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,POSITIVE,0.8661,0.8661,0.1339
Ponsse will divide its sales and maintenance service network into six geographical areas .,NEGATIVE,0.9757,0.0243,0.9757
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .",NEGATIVE,0.9851,0.0149,0.9851
"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab .",NEGATIVE,0.9901,0.0099,0.9901
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",NEGATIVE,0.7177,0.2823,0.7177
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",NEGATIVE,0.9924,0.0076,0.9924
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",NEGATIVE,0.9243,0.0757,0.9243
"production facilities 6 July 2010 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",NEGATIVE,0.9175,0.0825,0.9175
"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .",NEGATIVE,0.868,0.132,0.868
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",NEGATIVE,0.9675,0.0325,0.9675
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",NEGATIVE,0.9675,0.0325,0.9675
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",NEGATIVE,0.9882,0.0118,0.9882
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",NEGATIVE,0.9889,0.0111,0.9889
Protalix is developing genetically engineered proteins from plant cells .,POSITIVE,0.7143,0.7143,0.2857
"Purchase it for the 12MP snapper , if nothing else .",NEGATIVE,0.987,0.013,0.987
